Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ 06-26,Sell,2,30155.50,5/28/2026 10:40:41 AM,0dee1d068f904e06ad7ae2b1f6a91ad3,Exit,2 L,d070967cc0514a759550776bdad3fe59,Target2,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,2,30149.25,5/28/2026 10:40:35 AM,f07d08a41bc148f1b43e903add359792,Exit,4 L,699bef95238d498b9fd522d03a3793a7,Target1,$1.70,1,Sim101,Lucid,
MNQ 06-26,Buy,4,30143.25,5/28/2026 10:36:52 AM,a7fb5986557f409b8fe4487729fc65b4,Entry,6 L,ffc7497d1d1642ff8520b1d54e81c6e4,Entry,$3.40,1,Sim101,Lucid,
MNQ 06-26,Buy,2,30143.00,5/28/2026 10:36:52 AM,afee948821bb4ab0bf1eab81443541de,Entry,2 L,ffc7497d1d1642ff8520b1d54e81c6e4,Entry,$1.70,1,Sim101,Lucid,
MNQ 06-26,Buy,2,29995.25,5/28/2026 10:00:17 AM,70503acd2f54400eb6730ced5fcf303d,Exit,-,77f92d6cea4c41fd8ba7836d1de23bf8,Stop3,$1.70,1,Sim101,Lucid,
MNQ 06-26,Buy,2,29995.25,5/28/2026 10:00:17 AM,695cd73adaaa4bb6b072211fe803ca0a,Exit,2 S,51b9e06d7a6b41d6bb344d1f95315807,Stop2,$1.70,1,Sim101,Lucid,
MNQ 06-26,Buy,2,29995.25,5/28/2026 10:00:17 AM,b5b94f2ed4994c429cba8152a9b16ebe,Exit,4 S,c4e0d15412774e0b86a880c87d3098bf,Stop1,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,2,29970.00,5/28/2026 9:58:55 AM,dd61b7666a6a419aaa364c91e2cc500c,Entry,6 S,7cd3c852fa2c4b5ab9863c0dbf424711,Entry,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,4,29970.25,5/28/2026 9:58:55 AM,1038837ffc5d440cbc509ba23cf20180,Entry,4 S,7cd3c852fa2c4b5ab9863c0dbf424711,Entry,$3.40,1,Sim101,Lucid,
MNQ 06-26,Sell,1,29983.75,5/28/2026 9:58:07 AM,81f841dea44d476b8edcc4ce4ddc139c,Exit,-,cba70d826b974f34a48b286669afe66e,Stop3,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,1,29984.00,5/28/2026 9:58:07 AM,4db58aa6cb624c6d9969f9558679dee6,Exit,1 L,cba70d826b974f34a48b286669afe66e,Stop3,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,1,29994.00,5/28/2026 9:57:14 AM,bf38ee7b0ad04d88a4601cf776d11249,Exit,2 L,a0c2325f5095461f8b62d240b125d246,Target2,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,1,29994.00,5/28/2026 9:57:14 AM,ee55d5242d3c406e9c8eda1181ef5be3,Exit,3 L,a0c2325f5095461f8b62d240b125d246,Target2,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,1,29987.75,5/28/2026 9:57:05 AM,9ce33b5c16064854808eb5eecabc3a09,Exit,4 L,e55b81dd7aa049c5823fed92436eb4c9,Target1,$0.85,1,Sim101,Lucid,
MNQ 06-26,Sell,1,29987.75,5/28/2026 9:57:05 AM,de2ae9ae4e52410d84fc3e5131129863,Exit,5 L,e55b81dd7aa049c5823fed92436eb4c9,Target1,$0.85,1,Sim101,Lucid,
MNQ 06-26,Buy,6,29981.50,5/28/2026 9:56:53 AM,64680713620544e5b068c1a148013286,Entry,6 L,a74ec5a248294818b761ce9b072b681d,Entry,$5.10,1,Sim101,Lucid,
MNQ 06-26,Buy,2,29965.25,5/28/2026 9:55:15 AM,74d51a2b5d784d94b814a4c44ca9c55d,Exit,-,350cf2bb20594bcfbd93007e19bd40b9,Stop3,$1.70,1,Sim101,Lucid,
MNQ 06-26,Buy,1,29955.25,5/28/2026 9:54:30 AM,faed539073f44ccc91db763e9202483e,Exit,2 S,8cdf90c9d4fd40378224aadc23adee1b,Target2,$0.85,1,Sim101,Lucid,
MNQ 06-26,Buy,1,29955.25,5/28/2026 9:54:30 AM,380a020af889438aa07c5c891fbcbc7d,Exit,3 S,8cdf90c9d4fd40378224aadc23adee1b,Target2,$0.85,1,Sim101,Lucid,
MNQ 06-26,Buy,2,29961.50,5/28/2026 9:54:25 AM,fdc60dffaa9b4980884fd4306b9c651b,Exit,4 S,f24a3b8a941f4956b77d9803bdd8ad4e,Target1,$1.70,1,Sim101,Lucid,
MNQ 06-26,Sell,6,29967.75,5/28/2026 9:54:22 AM,5b21470090cd4492ac080fff07e29ef1,Entry,6 S,83434b370898460a9f51a075e46bafc0,Entry,$5.10,1,Sim101,Lucid,
MNQ 06-26,Buy,1,29958.25,5/28/2026 9:44:06 AM,c3ab652b9b5c4107bf8c88b3bcab49c7,Exit,-,b718e4de9df74429aa04fcb5afbbd19f,Stop3,$0.00,1,SimGZKHistory,Lucid,
MNQ 06-26,Buy,1,29958.00,5/28/2026 9:44:06 AM,36248b1bf7e6498c8b569f86e1c912e3,Exit,1 S,b718e4de9df74429aa04fcb5afbbd19f,Stop3,$0.00,1,SimGZKHistory,Lucid,
MNQ 06-26,Buy,1,29958.25,5/28/2026 9:44:06 AM,9fc0660d5d6140ca89b07e28b3e1d5dc,Exit,-,d59e3d6757da4204b7b312f8781feb99,Stop3,$0.85,1,Sim101,Lucid,
MNQ 06-26,Buy,1,29958.00,5/28/2026 9:44:06 AM,7588be4829264d64a5ac1cf57aca78e4,Exit,1 S,d59e3d6757da4204b7b312f8781feb99,Stop3,$0.85,1,Sim101,Lucid,
MNQ 06-26,Buy,2,29958.00,5/28/2026 9:44:06 AM,61dd41e549024e67b187de9a1efa0ad1,Exit,2 S,38c0f7c6a61e490892f9e1e35684987f,Stop2,$0.00,1,SimGZKHistory,Lucid,
MNQ 06-26,Buy,2,29958.00,5/28/2026 9:44:06 AM,992ae2d946704b6aac7e479c087ac7d9,Exit,2 S,0d91e1e7335443ac95996379d8b9b2d0,Stop2,$1.70,1,Sim101,Lucid,
